accuracy,loss,precision_macro,precision_weighted,recall_macro,f1_macro,epoch,model
0.6571428571428571,0.6598661658013151,0.6559139784946236,0.6565284178187404,0.6543816543816544,0.6546052631578947,1,Linear Regression
0.6857142857142857,0.65898203010385,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,2,Linear Regression
0.6857142857142857,0.6588902304164094,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,3,Linear Regression
0.6857142857142857,0.6588773130976147,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,4,Linear Regression
0.6857142857142857,0.6588750635836482,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,5,Linear Regression
0.6857142857142857,0.6588745811525847,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,6,Linear Regression
0.6857142857142857,0.6588744612727755,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,7,Linear Regression
0.6857142857142857,0.6588744289975594,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,8,Linear Regression
0.6857142857142857,0.6588744199670994,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,9,Linear Regression
0.6857142857142857,0.6588744173940979,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,10,Linear Regression
0.6857142857142857,0.6588744166543742,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,11,Linear Regression
0.6857142857142857,0.6588744164406907,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,12,Linear Regression
0.6857142857142857,0.6588744163787956,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,13,Linear Regression
0.6857142857142857,0.658874416360838,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,14,Linear Regression
0.6857142857142857,0.6588744163556223,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,15,Linear Regression
0.6857142857142857,0.6588744163541065,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,16,Linear Regression
0.6857142857142857,0.658874416353666,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,17,Linear Regression
0.6857142857142857,0.6588744163535377,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,18,Linear Regression
0.6857142857142857,0.6588744163535004,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,19,Linear Regression
0.6857142857142857,0.6588744163534895,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,20,Linear Regression
0.6857142857142857,0.6588744163534865,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,21,Linear Regression
0.6857142857142857,0.6588744163534854,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,22,Linear Regression
0.6857142857142857,0.6588744163534851,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,23,Linear Regression
0.6857142857142857,0.6588744163534849,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368,24,Linear Regression
