dataset,model,accuracy,loss,precision_macro,precision_weighted,recall_macro,f1_macro
physical_health,Linear Regression,0.6857142857142857,0.6588744163534852,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368
physical_health,Random Forest,0.8857142857142857,0.413465500774007,0.8853398853398853,0.8857142857142857,0.8853398853398853,0.8853398853398853
physical_health,XGBoost,0.8285714285714286,0.5755931735038757,0.8285714285714285,0.830204081632653,0.8296478296478297,0.8284313725490196
mental_health,Linear Regression,0.8158863755917938,1.9664640562407214,0.46974791112956815,0.7766163582310188,0.4309841494866718,0.42280266670718086
mental_health,Random Forest,0.9752761704366123,0.303655589523451,0.9722275721870131,0.9770276574060319,0.959315852701775,0.9634178709201477
mental_health,XGBoost,1.0,0.0012731655733659863,1.0,1.0,1.0,1.0
