model,accuracy,loss,precision_macro,precision_weighted,recall_macro,f1_macro
Linear Regression,0.8158863755917938,1.9664640562407214,0.46974791112956815,0.7766163582310188,0.4309841494866718,0.42280266670718086
Random Forest,0.9752761704366123,0.303655589523451,0.9722275721870131,0.9770276574060319,0.959315852701775,0.9634178709201477
XGBoost,1.0,0.0012731655733659863,1.0,1.0,1.0,1.0
