model,accuracy,loss,precision_macro,precision_weighted,recall_macro,f1_macro
Linear Regression,0.6857142857142857,0.6588744163534852,0.684863523573201,0.6852889046437433,0.683046683046683,0.6833881578947368
Random Forest,0.8857142857142857,0.413465500774007,0.8853398853398853,0.8857142857142857,0.8853398853398853,0.8853398853398853
XGBoost,0.8285714285714286,0.5755931735038757,0.8285714285714285,0.830204081632653,0.8296478296478297,0.8284313725490196
